,Nama Kota,long,lat
0,Kabupaten Badung,115.1770586,-8.5819296
1,Kota Bandung,107.6191228,-6.9174639
2,Kota Jakarta Pusat,106.8283831,-6.1805113
3,Kota Denpasar,115.2126293,-8.670458199999999
4,Kota Jakarta Barat,106.7637239,-6.167430899999999
5,Kabupaten Karangasem,115.5207358,-8.3465933
6,Kota Jakarta Selatan,106.8105998,-6.2614927
7,Kota Tangerang,106.6403236,-6.1701796
8,Kabupaten Bandung,107.6215321,-7.1340702
9,Kota Malang,112.6326321,-7.9666204
10,Kota Cimahi,107.5413039,-6.8840816
11,Kota Batu,112.5334492,-7.883064800000001
12,Kabupaten Gianyar,115.2600506,-8.4248244
13,Kabupaten Malang,112.7152125,-8.242208999999999
14,Kota Jakarta Utara,106.8926634,-6.155405699999999
15,Kabupaten Jembrana,114.6667939,-8.3233438
16,Kabupaten Bandung Barat,107.4919767,-6.865221399999999
17,Kabupaten Subang,107.763621,-6.3487617
18,Kabupaten Buleleng,114.9516869,-8.2238968
19,Kabupaten Sumedang,107.9531836,-6.832858
20,Kabupaten Majalengka,108.2852049,-6.7790605
21,Kota Jakarta Timur,106.9004472,-6.2250138
22,Kota Bekasi,106.9830865,-6.273375799999999
23,Kota Cirebon,108.5523164,-6.7320229
24,Kabupaten Cirebon,108.4750846,-6.6898876
25,Kabupaten Klungkung,115.5444231,-8.727807
26,Kabupaten Lombok Barat,116.1123078,-8.6464599
27,Kabupaten Lombok Tengah,116.2777073,-8.694623
28,Kota Mataram,116.1004894,-8.5769951
29,Kota Surabaya,112.7520883,-7.2574719
30,Kabupaten Lombok Utara,116.2777073,-8.373907599999999
31,Kabupaten Karanganyar,111.0460407,-7.6387228
32,Kota Surakarta,110.825,-7.5695
33,Kabupaten Sukoharjo,110.8552919,-7.648350600000001
34,Kabupaten Boyolali,110.6883536,-7.431777299999999
35,Kabupaten Sidoarjo,112.6675398,-7.472613399999998
36,Kabupaten Lombok Timur,116.5609857,-8.5134471
37,Kabupaten Tabanan,115.0465991,-8.459556100000002
38,Kabupaten Bangli,115.3548713,-8.297588400000002
39,Kabupaten Kepulauan Seribu,106.5996686,-5.7392014
40,Kabupaten Garut,107.763621,-7.501220399999999
41,Kabupaten Sleman,110.402376,-7.732521299999999
42,Kota Yogyakarta,110.3694896,-7.7955798
43,Kabupaten Bantul,110.3785438,-7.919016900000001
44,Kabupaten Pangandaran,108.4988269,-7.615061099999999
45,Kabupaten Cianjur,107.1957203,-7.3579773
46,Kabupaten Bogor,106.6291304,-6.5517758
47,Kabupaten Ciamis,108.3492543,-7.332077300000001
